순번,세무내용,비고,세무일정(년월일)
153,2월말 결산법인 법인세 신고 납부,2025.3~2026.2월분,2026-06-01
154,9월말 결산법인 법인세 중간예납,2025.10~2026.3월분,2026-06-01
155,가상자산 거래명세서(분기별) 제출,2026.1~3월분,2026-06-01
156,2월말 결산법인 교육세(금융ㆍ보험)정기신고,2025.3.1.-2026.2.28.,2026-06-01
157,12월말 결산법인 교육세(금융ㆍ보험)1차 중간예납,'25.1.-'25.3월분,2026-06-01
158,9월말 결산법인 교육세(금융ㆍ보험)2차 중간예납,'25.1.-'25.3월분,2026-06-01
159,6월말 결산법인 교육세(금융ㆍ보험)3차 중간예납,'25.1.-'25.3월분,2026-06-01
160,"개별소비세(석유류, 담배), 교통에너지환경세 신고 납부",2026.4월분,2026-06-01
161,원천세 신고 납부기한,2026.5월분,2026-06-10
162,인지세 납부,2026.5월 작성분,2026-06-10
163,개별소비세 과세유흥장소 신고 납부,2026.5월분,2026-06-25
164,3월말 결산법인 법인세 신고 납부,2025.4~2026.3월분,2026-06-30
165,10월말 결산법인 법인세 중간예납,2025.11~2026.4월분,2026-06-30
166,3월말 결산법인 교육세(금융ㆍ보험)정기신고,2025.4.1.-2026.3.31.,2026-06-30
167,1월말 결산법인 교육세(금융ㆍ보험)1차 중간예납,'26.2.- '26.4월분,2026-06-30
168,10월말 결산법인 교육세(금융ㆍ보험)2차 중간예납,'26.2.- '26.4월분,2026-06-30
169,7월말 결산법인 교육세(금융ㆍ보험)3차 중간예납,'26.2.- '26.4월분,2026-06-30
170,원천세 반기별 납부 신청기한,2026.하반기분,2026-06-30
171,"개별소비세(석유류, 담배), 교통에너지환경세 신고 납부",2026.5월분,2026-06-30
172,원천세(반기납 포함) 신고 납부기한,2026.6월분(2026.1~6월분),2026-07-10
173,인지세 납부,2026.6월 작성분,2026-07-10
174,주세 신고 납부,2026.4~6월분,2026-07-27
175,"개별소비세(석유류, 담배 제외) 신고 납부","2026.4~6월분(""유흥장소""는 전월분)",2026-07-27
176,개별소비세 과세유흥장소 신고 납부,2026.6월분,2026-07-27
177,4월말 결산법인 법인세 신고 납부,2025.5~2026.4월분,2026-07-31
178,11월말 결산법인 법인세 중간예납,2025.12~2026.5월분,2026-07-31
179,4월말 결산법인 교육세(금융ㆍ보험)정기신고,2025.5.1.-2026.4.30,2026-07-31
180,2월말 결산법인 교육세(금융ㆍ보험)1차 중간예납,'26.3.- '26.5월분,2026-07-31
181,11월말 결산법인 교육세(금융ㆍ보험)2차 중간예납,'26.3.- '26.5월분,2026-07-31
182,8월말 결산법인 교육세(금융ㆍ보험)3차 중간예납,'26.3.- '26.5월분,2026-07-31
183,"개별소비세(석유류, 담배), 교통에너지환경세 신고 납부",2026.6월분,2026-07-31
184,원천세 신고 납부기한,2026.7월분,2026-08-10
185,인지세 납부,2026.7월 작성분,2026-08-10
186,개별소비세 과세유흥장소 신고 납부,2026.7월분,2026-08-25
187,5월말 결산법인 법인세 신고 납부,2025.6~2026.5월분,2026-08-31
188,12월말 결산법인 법인세 중간예납,2026.1~6월분,2026-08-31
189,가상자산 거래명세서(분기별) 제출,2026.4~6월분,2026-08-31
190,5월말 결산법인 교육세(금융ㆍ보험)정기신고,2025.6.1.-2026.5.31.,2026-08-31
191,3월말 결산법인 교육세(금융ㆍ보험)1차 중간예납,'26.4.- '26.6월분,2026-08-31
192,12월말 결산법인 교육세(금융ㆍ보험)2차 중간예납,'26.4.- '26.6월분,2026-08-31
193,9월말 결산법인 교육세(금융ㆍ보험)3차 중간예납,'26.4.- '26.6월분,2026-08-31
194,"개별소비세(석유류, 담배), 교통에너지환경세 신고 납부",2026.7월분,2026-08-31
195,원천세 신고 납부기한,2026.8월분,2026-09-10
196,인지세 납부,2026.8월 작성분,2026-09-10
197,개별소비세 과세유흥장소 신고 납부,2026.8월분,2026-09-28
198,6월말 결산법인 법인세 신고 납부,2025.7~2026.6월분,2026-09-30
199,1월말 결산법인 법인세 중간예납,2026.2~7월분,2026-09-30
200,6월말 결산법인 교육세(금융ㆍ보험)정기신고,2025.7.1.-2026.6.30.,2026-09-30
201,4월말 결산법인 교육세(금융ㆍ보험)1차 중간예납,'26.5.- '26.7월분,2026-09-30
202,1월말 결산법인 교육세(금융ㆍ보험)2차 중간예납,'26.5.- '26.7월분,2026-09-30
203,10월말 결산법인 교육세(금융ㆍ보험)3차 중간예납,'26.5.- '26.7월분,2026-09-30
204,"개별소비세(석유류, 담배), 교통에너지환경세 신고 납부",2026.8월분,2026-09-30
205,원천세 신고 납부기한,2026.9월분,2026-10-12
206,인지세 납부,2026.9월 작성분,2026-10-12
207,주세 신고 납부,2025.7~9월분,2026-10-26
